ARTIST,SONG TITLE,DISC CODE
Rihanna & Mikky Ekko (Duet),Stay,ZOOM-04342
Rihanna & Ne-Yo (Duet),Hate That I Love You,ZOOM-04604
Rik And Nik,Finger Song (Highland Mix),ZOOM-08382
Ringo Starr,Back Off Boogaloo,ZOOM-04572
Ringo Starr,It Don't Come Easy,ZOOM-01593
Ringo Starr,Photograph,ZOOM-09109
Rita Coolidge,All Time High,ZOOM-02088
Rita Coolidge,We're All Alone,ZOOM-08762
Rita Ora,Anywhere,ZOOM-07780
Rita Ora,How We Do (Party And Bullshit) (Clean),ZOOM-04316
Rita Ora,How We Do (Party And Bullshit) (Explicit),ZOOM-04317
Rita Ora,Let You Love Me,ZOOM-08296
Rita Ora,New Look,ZOOM-08704
Rita Ora,Poison,ZOOM-06293
Rita Ora,Radioactive,ZOOM-04438
Rita Ora,Your Song,ZOOM-07556
Rita Ora,Your Song (Acoustative),ZOOM-70053
Rita Ora & Calvin Harris,I Will Never Let You Down,ZOOM-05475
Rita Ora & Cardi B & Bebe Rexha & Charli XCX,Girls,ZOOM-08079
Rita Ora & Tinie Tempah (Duet),R.I.P.,ZOOM-04234
Rita Ora & Tinie Tempah (Fsolo),R.I.P.,ZOOM-04235
Ritchie Valens,La Bamba,ZOOM-03973
Rixton,Me And My Broken Heart,ZOOM-05522
Rixton,Wait On Me,ZOOM-05810
Rizzle Kicks,Down With The Trumpets,ZOOM-04639
Rizzle Kids,Mama Do The Hump (Explicit Implied),ZOOM-04138
Roachford,Lay Your Love On Me,ZOOM-08255
Rob Thomas,Little Wonders,ZOOM-09010
Robbie Williams,Advertising Space,ZOOM-01205
Robbie Williams,Angels,ZOOM-03090
Robbie Williams,Be A Boy,ZOOM-04527
Robbie Williams,Blasphemy,ZOOM-02984
Robbie Williams,Bodies,ZOOM-02892
Robbie Williams,Candy,ZOOM-04200
Robbie Williams,Come Undone,ZOOM-03091
Robbie Williams,Different,ZOOM-04354
Robbie Williams,Eternity,ZOOM-03092
Robbie Williams,Everybody Wants To Rule The World,ZOOM-08460
Robbie Williams,Feel,ZOOM-02075
Robbie Williams,Freedom,ZOOM-03093
Robbie Williams,Go Gentle,ZOOM-04990
Robbie Williams,Handsome Man,ZOOM-06438
Robbie Williams,Heavy Entertainment Show,ZOOM-07091
Robbie Williams,Hot Fudge,ZOOM-06439
Robbie Williams,Jesus In A Camper Van,ZOOM-02236
Robbie Williams,Let Me Entertain You,ZOOM-03087
